ID,task,human_decision_time,human_ai_decision_time,XAI_value,subtracted_human_ai_decision_time
O20,1,45.0,6.0,0,3.0
O20,2,36.0,18.0,0,15.0
O20,3,53.0,14.0,0,11.0
O20,4,36.0,4.0,0,1.0
O20,5,29.0,3.0,0,0.0
O20,6,73.0,6.0,0,3.0
O20,7,15.0,3.0,0,0.0
O20,8,43.0,3.0,0,0.0
O20,9,34.0,9.0,0,6.0
O20,10,22.0,10.0,0,7.0
O20,11,24.0,6.0,0,3.0
O20,12,25.0,4.0,0,1.0
O20,13,23.0,4.0,0,1.0
O20,14,15.0,5.0,0,2.0
O20,15,33.0,5.0,0,2.0
O21,1,18.0,4.0,0,1.0
O21,2,17.0,5.0,0,2.0
O21,3,26.0,8.0,0,5.0
O21,4,22.0,5.0,0,2.0
O21,5,17.0,5.0,0,2.0
O21,6,22.0,5.0,0,2.0
O21,7,21.0,13.0,0,10.0
O21,8,25.0,4.0,0,1.0
O21,9,29.0,3.0,0,0.0
O21,10,24.0,5.0,0,2.0
O21,11,30.0,5.0,0,2.0
O21,12,27.0,4.0,0,1.0
O21,13,23.0,3.0,0,0.0
O21,14,23.0,9.0,0,6.0
O21,15,19.0,3.0,0,0.0
O22,1,21.0,14.0,0,11.0
O22,2,23.0,12.0,0,9.0
O22,3,27.0,5.0,0,2.0
O22,4,30.0,4.0,0,1.0
O22,5,28.0,4.0,0,1.0
O22,6,42.0,8.0,0,5.0
O22,7,27.0,5.0,0,2.0
O22,8,30.0,5.0,0,2.0
O22,9,21.0,4.0,0,1.0
O22,10,30.0,4.0,0,1.0
O22,11,27.0,4.0,0,1.0
O22,12,20.0,5.0,0,2.0
O22,13,19.0,4.0,0,1.0
O22,14,23.0,8.0,0,5.0
O22,15,21.0,4.0,0,1.0
O23,1,44.0,4.0,0,1.0
O23,2,46.0,7.0,0,4.0
O23,3,56.0,8.0,0,5.0
O23,4,58.0,8.0,0,5.0
O23,5,37.0,4.0,0,1.0
O23,6,86.0,5.0,0,2.0
O23,7,23.0,5.0,0,2.0
O23,8,57.0,5.0,0,2.0
O23,9,52.0,5.0,0,2.0
O23,10,51.0,5.0,0,2.0
O23,11,56.0,5.0,0,2.0
O23,12,19.0,2.0,0,-1.0
O23,13,29.0,5.0,0,2.0
O23,14,36.0,3.0,0,0.0
O23,15,40.0,6.0,0,3.0
O24,1,22.0,5.0,0,2.0
O24,2,9.0,2.0,0,-1.0
O24,3,26.0,6.0,0,3.0
O24,4,29.0,3.0,0,0.0
O24,5,22.0,3.0,0,0.0
O24,6,15.0,11.0,0,8.0
O24,7,22.0,6.0,0,3.0
O24,8,15.0,3.0,0,0.0
O24,9,6.0,6.0,0,3.0
O24,10,18.0,5.0,0,2.0
O24,11,11.0,12.0,0,9.0
O24,12,11.0,5.0,0,2.0
O24,13,15.0,5.0,0,2.0
O24,14,11.0,4.0,0,1.0
O24,15,13.0,3.0,0,0.0
O25,1,16.0,3.0,0,0.0
O25,2,26.0,15.0,0,12.0
O25,3,6.0,18.0,0,15.0
O25,4,20.0,4.0,0,1.0
O25,5,98.0,9.0,0,6.0
O25,6,23.0,4.0,0,1.0
O25,7,10.0,3.0,0,0.0
O25,8,21.0,5.0,0,2.0
O25,9,18.0,2.0,0,-1.0
O25,10,18.0,3.0,0,0.0
O25,11,21.0,10.0,0,7.0
O25,12,9.0,2.0,0,-1.0
O25,13,13.0,4.0,0,1.0
O25,14,14.0,2.0,0,-1.0
O25,15,11.0,3.0,0,0.0
O26,1,29.0,4.0,0,1.0
O26,2,17.0,14.0,0,11.0
O26,3,41.0,7.0,0,4.0
O26,4,26.0,4.0,0,1.0
O26,5,32.0,3.0,0,0.0
O26,6,41.0,17.0,0,14.0
O26,7,21.0,37.0,0,34.0
O26,8,15.0,6.0,0,3.0
O26,9,24.0,6.0,0,3.0
O26,10,21.0,31.0,0,28.0
O26,11,30.0,12.0,0,9.0
O26,12,11.0,3.0,0,0.0
O26,13,22.0,4.0,0,1.0
O26,14,25.0,52.0,0,49.0
O26,15,57.0,8.0,0,5.0
