ID,XAI,Robot,Round,Confidence,Label,HTime,HAITime,AI_Pred,H_decision,H__AI_decision,Correct_h_decision,Correct_h_ai_decision,Correct_ai_advice,dummy_reliance,overreliance,underreliance,reliance,perimeter_reliance,perimeter_o_reliance,perimeter_u_reliance,matching_decision,matching_decision_c,matching_decision_w,Reliance_Alone
O20,False,True,1,4,Edible,42.36907958984375,5.783233642578125,Edible,Edible,Edible,1,1,1,1,0,0,0,0,0,0,1,1,0,0
O21,False,True,1,8,Edible,14.602996826171877,4.333282470703125,Edible,Edible,Edible,1,1,1,1,0,0,0,0,0,0,1,1,0,0
O22,False,True,1,5,Edible,20.019561767578125,13.8330078125,Edible,Edible,Edible,1,1,1,1,0,0,0,0,0,0,1,1,0,0
O23,False,True,1,5,Edible,38.63568115234375,4.265716552734375,Edible,Edible,Edible,1,1,1,1,0,0,0,0,0,0,1,1,0,0
O24,False,True,1,5,Edible,20.053207397460938,5.449920654296875,Edible,Edible,Edible,1,1,1,1,0,0,0,0,0,0,1,1,0,0
O25,False,True,1,10,Edible,12.41973876953125,3.716598510742188,Edible,Edible,Edible,1,1,1,1,0,0,0,0,0,0,1,1,0,0
O26,False,True,1,7,Edible,16.852935791015625,3.6668701171875,Edible,Edible,Edible,1,1,1,1,0,0,0,0,0,0,1,1,0,0
O27,False,True,1,1,Edible,30.802642822265625,5.533203125,Edible,Edible,Edible,1,1,1,1,0,0,0,0,0,0,1,1,0,0
O28,False,True,1,5,Edible,6.66986083984375,4.516571044921875,Edible,Edible,Edible,1,1,1,1,0,0,0,0,0,0,1,1,0,0
O29,False,True,1,1,Edible,6.5364990234375,13.68304443359375,Edible,Poisonous,Edible,0,1,1,1,0,0,1,1,0,1,0,0,0,1
O30,False,True,1,5,Edible,27.636016845703125,8.733154296875,Edible,Edible,Edible,1,1,1,1,0,0,0,0,0,0,1,1,0,0
O31,False,True,1,7,Edible,6.503189086914063,2.78326416015625,Edible,Poisonous,Edible,0,1,1,1,0,0,1,1,0,1,0,0,0,1
O32,False,True,1,5,Edible,35.43589782714844,6.14984130859375,Edible,Edible,Edible,1,1,1,1,0,0,0,0,0,0,1,1,0,0
O33,False,True,1,7,Edible,31.7860107421875,13.3311767578125,Edible,Poisonous,Edible,0,1,1,1,0,0,1,1,0,1,0,0,0,1
O34,False,True,1,3,Edible,14.036453247070312,4.24847412109375,Edible,Edible,Edible,1,1,1,1,0,0,0,0,0,0,1,1,0,0
OX20,True,True,1,5,Edible,25.45281982421875,22.16619873046875,Edible,Edible,Edible,1,1,1,1,0,0,0,0,0,0,1,1,0,0
OX21,True,True,1,8,Edible,9.403289794921877,8.616363525390625,Edible,Edible,Edible,1,1,1,1,0,0,0,0,0,0,1,1,0,0
OX22,True,True,1,8,Edible,13.519668579101562,18.18296813964844,Edible,Edible,Edible,1,1,1,1,0,0,0,0,0,0,1,1,0,0
