ID,reliance,overreliance,underreliance,matching_decision,task
O20,undefined,undefined,undefined,1,1
O21,undefined,undefined,undefined,1,1
O22,undefined,undefined,undefined,1,1
O23,undefined,undefined,undefined,1,1
O24,undefined,undefined,undefined,1,1
O25,undefined,undefined,undefined,1,1
O26,undefined,undefined,undefined,1,1
O27,undefined,undefined,undefined,1,1
O28,undefined,undefined,undefined,1,1
O29,1,undefined,0,0,1
O30,undefined,undefined,undefined,1,1
O31,1,undefined,0,0,1
O32,undefined,undefined,undefined,1,1
O33,1,undefined,0,0,1
O34,undefined,undefined,undefined,1,1
OX20,undefined,undefined,undefined,1,1
OX21,undefined,undefined,undefined,1,1
OX22,undefined,undefined,undefined,1,1
OX23,undefined,undefined,undefined,1,1
OX24,undefined,undefined,undefined,1,1
OX25,undefined,undefined,undefined,1,1
OX26,0,undefined,1,0,1
OX27,undefined,undefined,undefined,1,1
OX28,undefined,undefined,undefined,1,1
OX29,undefined,undefined,undefined,1,1
OX30,undefined,undefined,undefined,1,1
OX31,undefined,undefined,undefined,1,1
OX32,0,undefined,1,0,1
OX33,1,undefined,0,0,1
OX34,undefined,undefined,undefined,1,1
O20,1,undefined,0,0,2
O21,undefined,undefined,undefined,1,2
O22,1,undefined,0,0,2
O23,1,undefined,0,0,2
O24,0,undefined,1,0,2
O25,0,undefined,1,0,2
O26,0,undefined,1,0,2
O27,1,undefined,0,0,2
O28,1,undefined,0,0,2
O29,0,undefined,1,0,2
O30,1,undefined,0,0,2
O31,1,undefined,0,0,2
O32,undefined,undefined,undefined,1,2
O33,undefined,undefined,undefined,1,2
O34,1,undefined,0,0,2
OX20,undefined,undefined,undefined,1,2
OX21,undefined,undefined,undefined,1,2
OX22,1,undefined,0,0,2
OX23,1,undefined,0,0,2
OX24,0,undefined,1,0,2
OX25,1,undefined,0,0,2
OX26,0,undefined,1,0,2
OX27,undefined,undefined,undefined,1,2
OX28,undefined,undefined,undefined,1,2
OX29,1,undefined,0,0,2
OX30,undefined,undefined,undefined,1,2
OX31,1,undefined,0,0,2
OX32,0,undefined,1,0,2
OX33,undefined,undefined,undefined,1,2
OX34,1,undefined,0,0,2
O20,1,undefined,0,0,3
O21,1,undefined,0,0,3
O22,undefined,undefined,undefined,1,3
O23,undefined,undefined,undefined,1,3
O24,undefined,undefined,undefined,1,3
O25,1,undefined,0,0,3
O26,1,undefined,0,0,3
O27,undefined,undefined,undefined,1,3
O28,undefined,undefined,undefined,1,3
O29,undefined,undefined,undefined,1,3
O30,undefined,undefined,undefined,1,3
O31,undefined,undefined,undefined,1,3
O32,undefined,undefined,undefined,1,3
O33,1,undefined,0,0,3
O34,undefined,undefined,undefined,1,3
OX20,undefined,undefined,undefined,1,3
OX21,undefined,undefined,undefined,1,3
OX22,undefined,undefined,undefined,1,3
OX23,undefined,undefined,undefined,1,3
OX24,undefined,undefined,undefined,1,3
OX25,1,undefined,0,0,3
OX26,undefined,undefined,undefined,1,3
OX27,undefined,undefined,undefined,1,3
OX28,1,undefined,0,0,3
OX29,undefined,undefined,undefined,1,3
OX30,1,undefined,0,0,3
OX31,undefined,undefined,undefined,1,3
OX32,undefined,undefined,undefined,1,3
OX33,undefined,undefined,undefined,1,3
OX34,1,undefined,0,0,3
O20,undefined,undefined,undefined,1,4
O21,undefined,undefined,undefined,1,4
O22,undefined,undefined,undefined,1,4
