ID,fixation_duration,fixation_duration_elmo,fixation_count,fixation_count_elmo,probability_elmo,proportion_elmo,task,XAI_value,matching_decision
O20,1.1864508560725622,0.0,28,1,0.03571428571428571,0.0,1,0,1
O20,2.0711965560913086,0.0,3,1,0.3333333333333333,0.0,1,0,1
O20,1.5032523605558608,0.0623613595962524,18,2,0.1111111111111111,0.0414842918145779,4,0,1
O20,2.93370008468628,0.0,1,1,1.0,0.0,4,0,1
O20,1.898178517818451,0.0,12,1,0.08333333333333333,0.0,5,0,1
O20,1.5181847589987296,0.2866489589214325,27,8,0.2962962962962963,0.18881032576725554,6,0,1
O21,0.6847837766011556,0.2106862068176269,9,3,0.3333333333333333,0.3076682217317462,1,0,1
O21,2.527584791183472,0.0,1,1,1.0,0.0,1,0,1
O21,2.912709379196167,0.0,5,1,0.2,0.0,2,0,1
O21,1.639417092005412,0.0,3,1,0.3333333333333333,0.0,2,0,1
O21,0.8119067237490699,0.4894545078277588,21,2,0.09523809523809523,0.602845737706972,4,0,1
O21,0.6152542999812535,0.1273581981658935,7,1,0.14285714285714285,0.20700090705546315,4,0,1
O21,1.278642439842224,0.3613806452069963,10,7,0.7,0.2826283829993851,5,0,1
O21,4.836848974227905,0.3623654842376709,1,1,1.0,0.0749176759846041,5,0,1
O21,0.9546961466471354,0.0,15,1,0.06666666666666667,0.0,6,0,1
O21,0.560222966330392,0.0,7,1,0.14285714285714285,0.0,6,0,1
O21,0.8255292490908974,0.0,19,1,0.05263157894736842,0.0,8,0,1
O21,0.7762429316838583,0.0,6,1,0.16666666666666666,0.0,8,0,1
O21,1.6658290386199952,0.0,10,1,0.1,0.0,12,0,1
O21,1.490606129169464,0.2368113994598388,12,1,0.08333333333333333,0.1588691974531095,13,0,1
O21,0.8745832443237305,0.1102247238159179,4,2,0.5,0.1260311405818767,13,0,1
O22,2.630234400431315,0.0,6,1,0.16666666666666666,0.0,1,0,1
O22,3.341477334499359,0.0,4,1,0.25,0.0,1,0,1
O22,1.6481212576230366,0.0,12,1,0.08333333333333333,0.0,3,0,1
O22,1.805068386925592,0.0,9,1,0.1111111111111111,0.0,4,0,1
O22,1.0416728258132937,0.0,2,1,0.5,0.0,4,0,1
O22,1.674996596116286,0.0,13,1,0.07692307692307693,0.0,5,0,1
O22,2.170389175415039,0.0,2,1,0.5,0.0,5,0,1
O22,1.5947543462117513,0.0,15,1,0.06666666666666667,0.0,8,0,1
O22,1.8195998668670648,0.0,10,1,0.1,0.0,9,0,1
O22,1.960383415222168,0.0,2,1,0.5,0.0,9,0,1
O22,2.318845796585083,0.0,5,1,0.2,0.0,12,0,1
O22,0.9304111003875732,0.0,1,1,1.0,0.0,12,0,1
O22,2.6330100536346435,0.0,5,1,0.2,0.0,13,0,1
O22,2.4000396728515625,0.0,1,1,1.0,0.0,13,0,1
O22,1.4816138744354248,0.0,8,1,0.125,0.0,15,0,1
O22,0.7240800857543945,0.0,5,1,0.2,0.0,15,0,1
O24,1.513405481974284,0.0,12,1,0.08333333333333333,0.0,1,0,1
O24,1.2608372502856784,0.0,18,1,0.05555555555555555,0.0,3,0,1
O24,1.001526951789856,0.0,6,1,0.16666666666666666,0.0,3,0,1
O24,1.763035625219345,0.0,8,1,0.125,0.0,7,0,1
O24,1.703175067901611,0.0,4,1,0.25,0.0,7,0,1
O24,1.3508512708875868,0.0,9,1,0.1111111111111111,0.0,8,0,1
O24,0.7251979112625122,0.0,2,1,0.5,0.0,8,0,1
O24,4.14869236946106,0.0,4,1,0.25,0.0,10,0,1
O24,2.1971774101257324,0.0,2,1,0.5,0.0,10,0,1
O24,0.7482772933112251,0.4670986262234775,9,11,1.2222222222222223,0.6242319931378713,14,0,1
O24,0.9552887082099916,0.6065279642740885,4,3,0.75,0.6349158731401665,14,0,1
O24,2.9365310072898865,0.0,4,1,0.25,0.0,15,0,1
O25,1.2671081152829258,0.0,11,1,0.09090909090909091,0.0,1,0,1
O25,0.511408805847168,1.0004494190216064,1,1,1.0,1.956261620024951,1,0,1
O25,0.6783075928688049,0.3753559589385986,8,2,0.25,0.5533713065942315,4,0,1
O25,0.4148506096431187,0.2325620651245117,7,1,0.14285714285714285,0.5605923185808419,4,0,1
O25,0.7296109947503782,0.2982737336839948,51,7,0.13725490196078433,0.4088120050685958,5,0,1
O25,1.44632248878479,0.1331479549407959,5,1,0.2,0.09205965887501874,5,0,1
O25,1.1460378340312414,0.0,14,1,0.07142857142857142,0.0,8,0,1
O25,0.869564930597941,0.0,3,1,0.3333333333333333,0.0,8,0,1
O25,2.169394075870514,0.0,4,1,0.25,0.0,9,0,1
O25,2.7770824432373047,0.0,4,1,0.25,0.0,10,0,1
O25,1.4717833399772644,0.0,4,1,0.25,0.0,12,0,1
O25,1.2336301803588867,0.0,3,1,0.3333333333333333,0.0,13,0,1
O25,1.3513317108154297,0.0,4,1,0.25,0.0,13,0,1
O25,1.560697214944022,0.0,7,1,0.14285714285714285,0.0,14,0,1
O25,0.8026776313781738,0.0,2,1,0.5,0.0,14,0,1
O25,1.1722187655312677,0.0,7,1,0.14285714285714285,0.0,15,0,1
O25,0.1710504690806071,0.0,3,1,0.3333333333333333,0.0,15,0,1
O26,1.2187637153424715,0.4252329739657315,19,33,1.736842105263158,0.3489051803993372,1,0,1
O26,0.4848399957021077,0.2975838979085286,3,6,2.0,0.6137775359839914,1,0,1
O26,1.251744508743286,0.4175585806369781,14,8,0.5714285714285714,0.3335813160915676,4,0,1
O26,0.6948643207550049,0.0,5,1,0.2,0.0,4,0,1
O26,2.879266553454929,0.0,9,1,0.1111111111111111,0.0,5,0,1
O26,1.2231929302215576,0.0,6,1,0.16666666666666666,0.0,8,0,1
O26,0.6854496796925863,0.0,6,1,0.16666666666666666,0.0,8,0,1
O26,1.4427626499762902,0.4911873340606689,13,2,0.15384615384615385,0.34044916124543484,9,0,1
O26,0.9647479852040608,0.2862071990966797,3,1,0.3333333333333333,0.2966652467650834,9,0,1
O26,1.1332412560780842,0.975739598274231,18,2,0.1111111111111111,0.8610166573453791,11,0,1
O26,0.9266397736289284,0.0638298988342285,11,2,0.18181818181818182,0.0688831848694087,11,0,1
O26,2.370945692062378,0.2246904373168945,3,4,1.3333333333333333,0.09476827667083615,12,0,1
O26,0.5487386385599772,0.1575791835784912,3,1,0.3333333333333333,0.2871661889748042,12,0,1
O26,1.3706894397735596,0.095260739326477,10,2,0.2,0.06949841193947934,13,0,1
O26,3.891265869140625,0.0,1,1,1.0,0.0,13,0,1
O27,0.3134911236939607,0.0,27,1,0.037037037037037035,0.0,1,0,1
O27,0.2959851002206607,0.0,49,1,0.02040816326530612,0.0,3,0,1
O27,0.1861131191253662,0.0,1,1,1.0,0.0,3,0,1
O27,0.388103285351315,0.0,37,1,0.02702702702702703,0.0,4,0,1
O27,0.3988626797993977,0.0,3,1,0.3333333333333333,0.0,4,0,1
O27,0.3893717626730601,0.0,24,1,0.041666666666666664,0.0,6,0,1
O27,0.446708083152771,0.0,2,1,0.5,0.0,6,0,1
O27,0.18316560321384,0.0,9,1,0.1111111111111111,0.0,8,0,1
O27,0.4053897517068045,0.0,28,1,0.03571428571428571,0.0,9,0,1
O27,0.5442484092712402,0.0,25,1,0.04,0.0,10,0,1
O27,0.3569962978363037,0.0,1,1,1.0,0.0,10,0,1
O27,0.3389239907264709,0.0,16,1,0.0625,0.0,11,0,1
O27,0.2535426786967686,0.0,14,1,0.07142857142857142,0.0,12,0,1
O27,0.1608500480651855,0.0,4,1,0.25,0.0,12,0,1
O27,0.413881242275238,0.0,4,1,0.25,0.0,15,0,1
O28,1.312884473800659,0.0,5,1,0.2,0.0,1,0,1
O28,1.814838171005249,0.0,3,1,0.3333333333333333,0.0,1,0,1
O28,1.1544754770067005,0.0,9,1,0.1111111111111111,0.0,3,0,1
O28,0.7575356483459472,0.0,5,1,0.2,0.0,3,0,1
O28,1.79751455783844,0.0,2,1,0.5,0.0,5,0,1
O28,0.8561971584955851,0.0,6,1,0.16666666666666666,0.0,5,0,1
O28,1.7964111804962155,0.0,5,1,0.2,0.0,6,0,1
O28,0.4415199160575866,0.0,4,1,0.25,0.0,6,0,1
