ID,fixation_duration,fixation_duration_elmo,fixation_count,fixation_count_elmo,probability_elmo,proportion_elmo,task,XAI_value,matching_decision
O20,3.062394618988037,0.0,1,1,1.0,0.0,1,0,1
O21,1.6124446392059326,0.0,1,1,1.0,0.0,2,0,1
O21,0.6018706560134888,0.1273581981658935,4,1,0.25,0.21160393332589922,4,0,1
O21,0.349691351254781,0.0,6,1,0.16666666666666666,0.0,6,0,1
O21,0.5575253963470459,0.0,4,1,0.25,0.0,8,0,1
O21,0.5288991928100586,0.1102247238159179,1,2,2.0,0.20840403107875882,13,0,1
O22,1.9442025820414224,0.0,3,1,0.3333333333333333,0.0,1,0,1
O22,0.9304111003875732,0.0,1,1,1.0,0.0,12,0,1
O22,0.1193868319193522,0.0,3,1,0.3333333333333333,0.0,15,0,1
O24,0.7524734735488892,0.0,2,1,0.5,0.0,3,0,1
O24,1.3343149026234944,0.0,3,1,0.3333333333333333,0.0,7,0,1
O24,0.3257734775543213,0.0,1,1,1.0,0.0,8,0,1
O24,1.6467783451080322,0.0,1,1,1.0,0.0,10,0,1
O24,0.7224498987197876,0.0,2,1,0.5,0.0,14,0,1
O25,0.2176766991615295,0.2325620651245117,4,1,0.25,1.0683829092425567,4,0,1
O25,1.1175517241160076,0.1331479549407959,3,1,0.3333333333333333,0.11914254353293312,5,0,1
O25,0.9918382167816162,0.0,1,1,1.0,0.0,8,0,1
O25,1.165859580039978,0.0,2,1,0.5,0.0,13,0,1
O25,0.1712318658828735,0.0,2,1,0.5,0.0,15,0,1
O26,0.6446305513381958,0.0,2,1,0.5,0.0,1,0,1
O26,0.2953534126281738,0.0,2,1,0.5,0.0,4,0,1
O26,0.2054898142814636,0.0,4,1,0.25,0.0,8,0,1
O26,0.9647479852040608,0.2862071990966797,3,1,0.3333333333333333,0.2966652467650834,9,0,1
O26,1.0486998217446464,0.0638298988342285,7,2,0.2857142857142857,0.060865747767592154,11,0,1
O26,1.0119707584381104,0.1575791835784912,1,1,1.0,0.15571515507197176,12,0,1
O27,0.1861131191253662,0.0,1,1,1.0,0.0,3,0,1
O27,0.2668190002441406,0.0,1,1,1.0,0.0,4,0,1
O27,0.0922534465789794,0.0,1,1,1.0,0.0,6,0,1
O27,0.2269468307495117,0.0,2,1,0.5,0.0,12,0,1
O28,0.5235543251037598,0.0,1,1,1.0,0.0,3,0,1
O28,0.5743001103401184,0.0,4,1,0.25,0.0,5,0,1
O28,0.409422755241394,0.0,2,1,0.5,0.0,6,0,1
O28,0.5474398136138916,0.0,1,1,1.0,0.0,8,0,1
O28,0.306835412979126,0.0,1,1,1.0,0.0,9,0,1
O28,0.5998748938242594,0.0,6,1,0.16666666666666666,0.0,12,0,1
O28,1.1192017793655396,0.0,2,1,0.5,0.0,14,0,1
O29,0.3594186305999756,1.950422286987305,2,1,0.5,5.426603188965123,3,0,1
O29,0.7522459030151367,0.3932445049285888,4,5,1.25,0.5227605804862402,14,0,1
O29,1.5137884616851809,0.2417594194412231,1,2,2.0,0.15970488979159708,15,0,1
O30,0.8690822124481201,0.0,6,1,0.16666666666666666,0.0,3,0,1
O30,0.5389997482299804,0.0,5,1,0.2,0.0,4,0,1
O30,0.3210295836130778,0.0,3,1,0.3333333333333333,0.0,6,0,1
O30,1.990450143814087,0.0,2,1,0.5,0.0,8,0,1
O30,0.6428443590799967,0.0,3,1,0.3333333333333333,0.0,13,0,1
O30,0.3732830286026001,0.0,2,1,0.5,0.0,14,0,1
O30,0.4810109138488769,0.0,1,1,1.0,0.0,15,0,1
O31,1.2627277374267578,0.0,1,1,1.0,0.0,3,0,1
O31,0.4821861982345581,0.0,4,1,0.25,0.0,6,0,1
O31,1.311152696609497,0.0,1,1,1.0,0.0,12,0,1
O31,0.406406044960022,0.0,2,1,0.5,0.0,13,0,1
O32,0.8497694134712219,0.1566680669784546,4,2,0.5,0.18436538723897042,1,0,1
O32,0.4167399406433105,0.0,5,1,0.2,0.0,2,0,1
O32,0.2862029075622558,0.1106822490692138,3,1,0.3333333333333333,0.38672650118041807,3,0,1
O32,0.1662673950195312,0.0639358758926391,1,2,2.0,0.38453646239618205,8,0,1
