ID,fixation_duration,fixation_duration_elmo,fixation_count,fixation_count_elmo,probability_elmo,proportion_elmo,task,XAI_value,overreliance
O21,1.3097896575927734,0.0,2,1,0.5,0.0,10,0,1
O22,0.7469482421875,0.0,1,1,1.0,0.0,10,0,1
O27,0.3003358159746442,0.0,7,1,0.14285714285714285,0.0,5,0,1
O27,0.7992019653320312,0.0,1,1,1.0,0.0,13,0,1
O28,1.2362815141677856,0.0,2,1,0.5,0.0,10,0,1
O28,0.4466650485992431,0.0,1,1,1.0,0.0,13,0,1
O29,0.6553449630737305,0.2715567747751872,1,3,3.0,0.4143722620549619,10,0,1
O29,1.3382118940353394,0.5422388712565104,2,3,1.5,0.40519657139005444,13,0,1
O30,2.065000136693319,0.0,3,1,0.3333333333333333,0.0,5,0,1
O31,0.928792119026184,0.0,4,1,0.25,0.0,10,0,1
O32,0.5996411442756653,0.181588590145111,8,4,0.5,0.3028287699711807,10,0,1
O32,0.279559850692749,0.0,1,1,1.0,0.0,13,0,1
O33,2.397906017303467,0.0,10,1,0.1,0.0,5,0,1
OX22,1.9888468384742737,0.0,4,1,0.25,0.0,5,1,1
OX31,0.6075488924980164,0.0,8,1,0.125,0.0,5,1,1
OX34,0.8854889529091972,0.4157339466942681,7,9,1.2857142857142858,0.4694964802535484,13,1,1
