ID,fixation_duration,fixation_duration_elmo,fixation_count,fixation_count_elmo,probability_elmo,proportion_elmo,task,XAI_value,underreliance
O21,0.6502783128193447,0.0,14,1,0.07142857142857142,0.0,7,0,1
O21,0.4666793346405029,0.1580218076705932,12,4,0.3333333333333333,0.3386089675308253,14,0,1
O24,0.9912896951039633,0.0,3,1,0.3333333333333333,0.0,6,0,1
O24,1.694515585899353,0.0,2,1,0.5,0.0,9,0,1
O24,1.1785938739776611,0.0,5,1,0.2,0.0,11,0,1
O25,2.0520594716072083,0.0,4,1,0.25,0.0,2,0,1
O25,0.9905707836151124,0.0,1,1,1.0,0.0,6,0,1
O25,0.5212883949279785,0.0,2,1,0.5,0.0,7,0,1
O26,0.7533565521240234,0.0,10,1,0.1,0.0,2,0,1
O26,1.2844923904963903,0.0,7,1,0.14285714285714285,0.0,6,0,1
O29,0.6127474308013916,0.1002228260040283,1,1,1.0,0.16356302934302028,2,0,1
O29,1.744307041168213,0.0,1,1,1.0,0.0,11,0,1
O30,0.475793441136678,0.0,3,1,0.3333333333333333,0.0,7,0,1
O31,0.4944920778274536,0.0,10,1,0.1,0.0,9,0,1
O32,1.3524153232574463,0.0,1,1,1.0,0.0,14,0,1
O33,0.1285088062286377,0.0,1,1,1.0,0.0,11,0,1
OX20,1.4594592054684956,0.3372495770454407,12,24,2.0,0.23107845411628442,7,1,1
OX24,0.7812326137836163,0.1004948616027832,13,2,0.15384615384615385,0.128636285569381,2,1,1
OX25,0.820751849342795,0.0,17,1,0.058823529411764705,0.0,7,1,1
OX26,1.771872103214264,0.0,4,1,0.25,0.0,1,1,1
OX26,1.9275434200580304,0.0,13,1,0.07692307692307693,0.0,2,1,1
OX26,1.0165923833847046,0.0,2,1,0.5,0.0,6,1,1
OX26,1.0946685314178466,0.0,5,1,0.2,0.0,7,1,1
OX26,0.6661196231842041,0.0,5,1,0.2,0.0,14,1,1
OX26,0.6945095062255859,0.0,2,1,0.5,0.0,15,1,1
OX29,1.5363099575042725,0.0,15,1,0.06666666666666667,0.0,7,1,1
OX31,2.054764986038208,0.0,1,1,1.0,0.0,7,1,1
OX32,0.6259418461057875,0.118473470211029,18,4,0.2222222222222222,0.1892723276900173,1,1,1
OX32,0.6683653267947111,0.1271462440490722,33,2,0.06060606060606061,0.19023465005108692,2,1,1
OX32,0.545671804745992,0.2131995558738708,30,4,0.13333333333333333,0.39071022915159476,6,1,1
OX32,0.8377730316585965,0.0,9,1,0.1111111111111111,0.0,7,1,1
